Sparse White Noise parameters for every sweep.
contrast xindex  yindex   postval
	0		18		13		1165
	0		18		13		1165
	0		18		13		1165
	0		18		13		1165
	1		10		0		4736
	1		10		0		4736
	1		10		0		4736
	1		10		0		4736
	0		1		3		67
	0		1		3		67
	0		1		3		67
	0		1		3		67
	0		0		11		11
	0		0		11		11
	0		0		11		11
	0		0		11		11
	1		8		19		4627
	1		8		19		4627
	1		8		19		4627
	1		8		19		4627
	1		17		3		5187
	1		17		3		5187
	1		17		3		5187
	1		17		3		5187
	0		15		8		968
	0		15		8		968
	0		15		8		968
	0		15		8		968
	1		15		6		5062
	1		15		6		5062
	1		15		6		5062
	1		15		6		5062
	0		13		9		841
	0		13		9		841
	0		13		9		841
	0		13		9		841
	1		17		17		5201
	1		17		17		5201
	1		17		17		5201
	1		17		17		5201
	0		11		4		708
	0		11		4		708
	0		11		4		708
	0		11		4		708
	0		5		17		337
	0		5		17		337
	0		5		17		337
	0		5		17		337
	0		3		16		208
	0		3		16		208
	0		3		16		208
	0		3		16		208
	0		1		12		76
	0		1		12		76
	0		1		12		76
	0		1		12		76
	1		1		17		4177
	1		1		17		4177
	1		1		17		4177
	1		1		17		4177
	1		10		19		4755
	1		10		19		4755
	1		10		19		4755
	1		10		19		4755
	1		19		2		5314
	1		19		2		5314
	1		19		2		5314
	1		19		2		5314
	1		3		2		4290
	1		3		2		4290
	1		3		2		4290
	1		3		2		4290
	0		12		9		777
	0		12		9		777
	0		12		9		777
	0		12		9		777
	0		2		5		133
	0		2		5		133
	0		2		5		133
	0		2		5		133
	1		9		8		4680
	1		9		8		4680
	1		9		8		4680
	1		9		8		4680
	0		0		5		5
	0		0		5		5
	0		0		5		5
	0		0		5		5
	1		18		14		5262
	1		18		14		5262
	1		18		14		5262
	1		18		14		5262
	1		2		5		4229
	1		2		5		4229
	1		2		5		4229
	1		2		5		4229
	0		5		6		326
	0		5		6		326
	0		5		6		326
	0		5		6		326
	0		13		0		832
	0		13		0		832
	0		13		0		832
	0		13		0		832
	1		3		15		4303
	1		3		15		4303
	1		3		15		4303
	1		3		15		4303
	1		19		13		5325
	1		19		13		5325
	1		19		13		5325
	1		19		13		5325
	0		11		0		704
	0		11		0		704
	0		11		0		704
	0		11		0		704
	0		9		19		595
	0		9		19		595
	0		9		19		595
	0		9		19		595
	0		7		18		466
	0		7		18		466
	0		7		18		466
	0		7		18		466
	1		14		16		5008
	1		14		16		5008
	1		14		16		5008
	1		14		16		5008
	0		12		18		786
	0		12		18		786
	0		12		18		786
	0		12		18		786
	1		11		17		4817
	1		11		17		4817
	1		11		17		4817
	1		11		17		4817
	0		6		14		398
	0		6		14		398
	0		6		14		398
	0		6		14		398
	1		13		3		4931
	1		13		3		4931
	1		13		3		4931
	1		13		3		4931
	0		0		4		4
	0		0		4		4
	0		0		4		4
	0		0		4		4
	1		16		18		5138
	1		16		18		5138
	1		16		18		5138
	1		16		18		5138
	0		18		14		1166
	0		18		14		1166
	0		18		14		1166
	0		18		14		1166
	1		17		5		5189
	1		17		5		5189
	1		17		5		5189
	1		17		5		5189
	1		16		4		5124
	1		16		4		5124
	1		16		4		5124
	1		16		4		5124
	1		1		12		4172
	1		1		12		4172
	1		1		12		4172
	1		1		12		4172
	0		15		9		969
	0		15		9		969
	0		15		9		969
	0		15		9		969
	1		4		1		4353
	1		4		1		4353
	1		4		1		4353
	1		4		1		4353
	0		2		6		134
	0		2		6		134
	0		2		6		134
	0		2		6		134
	0		7		1		449
	0		7		1		449
	0		7		1		449
	0		7		1		449
	0		19		13		1229
	0		19		13		1229
	0		19		13		1229
	0		19		13		1229
	0		10		14		654
	0		10		14		654
	0		10		14		654
	0		10		14		654
	1		0		19		4115
	1		0		19		4115
	1		0		19		4115
	1		0		19		4115
	0		0		15		15
	0		0		15		15
	0		0		15		15
	0		0		15		15
	1		18		7		5255
	1		18		7		5255
	1		18		7		5255
	1		18		7		5255
	1		19		7		5319
	1		19		7		5319
	1		19		7		5319
	1		19		7		5319
	1		10		15		4751
	1		10		15		4751
	1		10		15		4751
	1		10		15		4751
	0		7		12		460
	0		7		12		460
	0		7		12		460
	0		7		12		460
	0		13		9		841
	0		13		9		841
	0		13		9		841
	0		13		9		841
	0		1		17		81
	0		1		17		81
	0		1		17		81
	0		1		17		81
	0		4		11		267
	0		4		11		267
	0		4		11		267
	0		4		11		267
	0		15		8		968
	0		15		8		968
	0		15		8		968
	0		15		8		968
	0		18		10		1162
	0		18		10		1162
	0		18		10		1162
	0		18		10		1162
	0		15		14		974
	0		15		14		974
	0		15		14		974
	0		15		14		974
	0		7		0		448
	0		7		0		448
	0		7		0		448
	0		7		0		448
	1		6		19		4499
	1		6		19		4499
	1		6		19		4499
	1		6		19		4499
	1		17		12		5196
	1		17		12		5196
	1		17		12		5196
	1		17		12		5196
	1		17		4		5188
	1		17		4		5188
	1		17		4		5188
	1		17		4		5188
	0		2		12		140
	0		2		12		140
	0		2		12		140
	0		2		12		140
	0		1		5		69
	0		1		5		69
	0		1		5		69
	0		1		5		69
	1		4		12		4364
	1		4		12		4364
	1		4		12		4364
	1		4		12		4364
	1		8		16		4624
	1		8		16		4624
	1		8		16		4624
	1		8		16		4624
	1		6		0		4480
	1		6		0		4480
	1		6		0		4480
	1		6		0		4480
	0		7		15		463
	0		7		15		463
	0		7		15		463
	0		7		15		463
	0		17		18		1106
	0		17		18		1106
	0		17		18		1106
	0		17		18		1106
	1		13		18		4946
	1		13		18		4946
	1		13		18		4946
	1		13		18		4946
	0		10		7		647
	0		10		7		647
	0		10		7		647
	0		10		7		647
	1		15		4		5060
	1		15		4		5060
	1		15		4		5060
	1		15		4		5060
	1		10		9		4745
	1		10		9		4745
	1		10		9		4745
	1		10		9		4745
	0		18		2		1154
	0		18		2		1154
	0		18		2		1154
	0		18		2		1154
